"","geneid","theta_Gau1","theta_Gau2","Gamma1","Gamma2","logLik11","logLik21","logLik10","logLik20","Diff","Pvalue","Adjust.Pvalue"
"5982","Bbc3",313.820861174056,508.804760524842,"4.68009335167945","3.17178185100918",648.819343475413,1448.34484308025,646.277998615622,1447.7503731722,6.27162953568222,0.0122686261806707,0.0160805930430868
"5983","Sae1",418.932086709646,438.510940597483,"1.90969816533675","2.39195816552802",341.349235952441,1080.78741646673,340.606849067806,1080.33045322407,2.39870025459004,0.121436108114727,0.143053651060108
"5984","Zc3h4",201.968923999909,277.559116113797,"19.9999373590777","19.9999374069652",497.537911478339,307.441009592439,497.53791136644,307.441010021203,-6.33729996479815e-07,1,1
"5985","Gm45509",416.561453814023,363.886915669642,"19.9999215229668","0.41916285717301",1343.34453008017,191.785390748645,1302.84050139086,119.795819508178,224.987199859554,7.38928033002601e-51,4.65338856837499e-50
"5986","Tmem160",679.661878754176,685.030810769316,"1.32848055886685","4.91216763402437",263.268307439564,1540.93897603332,220.242502056559,1528.92395420306,110.08165442653,9.40363295429936e-26,3.37928787777129e-25
"5987","Npas1",457.029079496639,482.096791343744,"1.57330334948349","0.965547049520683",753.706072855838,962.842991532601,749.465431746834,959.953169142659,14.2609269978921,0.000159134221203512,0.000246062498762535
"5988","Arhgap35",461.13690296316,726.388565100485,"2.4479415398201","4.08313280719194",346.440475903408,1177.5172833318,342.971406497878,1175.94938571855,10.0739340375599,0.00150381598288445,0.00214572884436638
"5989","Ceacam9",401.933062415578,277.559116113797,"2.57052375795946","19.9999372088638",1670.34209929575,521.332765972022,1667.62585384079,516.882660753375,14.3327013472142,0.00015318071447498,0.000237184025056493
"5990","Ap2s1",495.918426556784,277.559116113797,"0.498786942358716","19.9998320965289",142.459962115497,364.190767732431,71.5803163247547,275.54424989388,319.052327258587,2.32983852840508e-71,2.15008171223959e-70
"5991","Slc1a5",522.577700291445,418.536049440248,"3.56694917929334","1.89744899398345",1062.18077557523,304.530951065851,1059.27028356058,299.3763253428,16.1302354754018,5.91324207209051e-05,9.43187024216748e-05
"5992","Fkrp",353.043638072706,589.006175243249,"2.89320228464502","2.09801080401795",385.057343350869,746.624597834574,379.57552884558,740.69666123843,22.819502202866,1.77950771711938e-06,3.13072583237722e-06
"5993","Strn4",543.917290816369,505.14776009107,"1.29568614664334","0.537278256685584",190.755964950516,220.328952841408,185.4263561148,214.60158064051,22.113962073228,2.56934204421235e-06,4.48539615418047e-06
"5994","Prkd2",201.968923999909,455.155769625093,"19.9999373302517","1.85903615831775",1053.48906301196,283.421116567261,1044.88342496953,264.083685803626,55.8861376121298,7.67921261465088e-14,1.91000614444464e-13
"5995","9330104G04Rik",482.40441069966,379.074387236812,"4.04473885538465","0.163202652577531",1109.07977317795,150.146850254408,1062.49383818388,77.6411241710537,238.183322154849,9.79103339083843e-54,6.47919644591296e-53
"5996","Dact3",455.128454374786,305.879924960171,"0.820893255579625","0.320050437949108",179.514228211786,924.17686917292,170.418510746504,918.148845239538,30.2474827973278,3.80284472963536e-08,7.35493754945159e-08
"5997","Gng8",898.616763826201,458.122670791396,"1.6623625103085","2.88790932066639",967.739087079036,741.45177621888,949.725627426759,731.849848282636,55.2307751770422,1.07177458893611e-13,2.65158336372203e-13
"5998","Calm3",655.688016487204,472.461059618544,"0.2200295176875","-0.0537727989862987",148.590778364099,193.292890587783,141.390432502569,181.37902389996,38.2284250987059,6.29290150684902e-10,1.3324940638657e-09
"5999","Pnmal2",551.174929626447,440.875536851629,"0.78351355153167","1.69635378900328",123.416199603153,273.482677745655,100.784242266412,263.22143889254,65.7863923797121,5.02540077085033e-16,1.34614693607021e-15
"6000","Pnmal1",431.66827005251,277.559116113797,"0.930216349674128","0.969559538527206",254.670957328463,1018.92515958369,246.766042925266,1016.60626427304,20.4476194276938,6.1285738516386e-06,1.04446245530596e-05
"6001","Gm42372",201.968923999909,329.418856293351,"2.15461770933232","0.449019431292672",399.254984794487,1097.82743283247,340.351442060185,1051.99667224559,209.468606642364,1.79391333026756e-47,1.06077425003362e-46
"6002","Ccdc8",581.466813389715,348.076194523355,"2.93370251457023","1.90735133221713",1230.38855227759,493.01161261661,1228.17756547267,491.094751861841,8.25569511937761,0.0040624348775952,0.00557655598046819
"6003","Ppp5c",567.622120925218,496.54489846227,"1.02311421977735","0.496020069866258",259.034874677783,190.241725050715,255.180453102251,186.185779389238,15.820734474018,6.96352232886592e-05,0.000110497299923587
"6004","Hif3a",1066.11497313198,509.268253080257,"19.9999208318108","-0.147649877803629",1379.91461091551,779.319165880363,1331.64915197928,541.617327560333,571.93459451252,2.13054947188394e-126,4.56959352474291e-125
"6005","Psg16",702.48324112852,378.952640933962,"2.871131547221","2.42216360004904",1213.88530535949,894.517279978159,1211.85975766667,893.079730673531,6.92619399489558,0.00849422628880854,0.0113175241246942
"6006","Mill2",1799.66941910251,724.23187876362,"4.82732040367853","0.753094928494838",1085.57920848737,221.373865327582,1068.13166189229,143.457018474264,190.728786896796,2.20421609461293e-43,1.20694361938123e-42
"6007","Pglyrp1",201.968923999909,1037.06272941044,"19.9999142067709","5.19345532305367",662.374674639588,1503.92325432418,661.717314850926,1503.82833561969,1.50455698630367,0.219971524309969,0.251680942103036
"6008","Ccdc61",549.728765931621,406.226178416237,"4.31331645244712","0.173144320123245",722.368197678918,194.676196648132,660.393353484439,114.442448868368,284.417183948486,8.18543197469839e-64,6.63598840219697e-63
"6009","Nova2",294.509363777702,534.144421088006,"2.89780945807935","1.19141485376164",392.484014225903,283.698212327933,346.664779448302,253.88590858499,151.263077041088,9.18097093293635e-35,4.14927889553778e-34
"6010","Nanos2",1530.71313007284,498.052123295225,"6.43309326760787","1.1843529314631",1540.72233983619,197.763825801335,1525.44851255453,153.073668534335,119.92796909732,6.5599945852497e-28,2.4904419741903e-27
"6011","Mypop",399.468713861121,277.559116113797,"2.1585356022421","19.9999372142293",410.322350960254,490.893989400175,403.686950855258,474.482756297689,46.0932664149642,1.12755324778316e-11,2.57982281386677e-11
"6012","Irf2bp1",201.968923999909,277.559116113797,"19.9999216765472","19.9999374378526",376.906826379454,-47.6790226027115,376.906826347426,-47.6790217046346,-1.7320977150348e-06,1,1
"6013","Sympk",268.60859277465,322.150464000282,"2.3439283664069","1.95763368456002",394.931315171917,656.163025590168,393.853557276163,655.263278646414,3.95500967901603,0.0467320494178794,0.0577376314870719
"6014","Rsph6a",706.644451642304,383.861580922301,"19.9999372992675","1.97589743360253",1176.19371721157,304.695993051951,1169.69327530727,295.902765166789,30.5873395789242,3.19169672613767e-08,6.19428123566942e-08
"6015","Dmwd",315.82949485985,290.171477049757,"1.78046910462795","4.26872369785564",229.630287166274,609.040923721407,224.74355327303,603.366752816258,21.1218095967861,4.30994889416273e-06,7.42372849942599e-06
"6016","Dmpk",235.897193426763,304.905520055678,"1.02843235120813","3.10169764314302",593.991446339839,324.802128521447,590.86515816038,312.848014442538,30.1608045167359,3.97665561826738e-08,7.68106037135437e-08
"6017","Six5",285.135710629685,403.979721900332,"3.63952284680908","-0.329632440163801",1078.7600402811,342.107519958809,1017.41748405178,193.132989625499,420.63417312526,1.77587024719683e-93,2.29804385962776e-92
"6018","Fbxo46",202.046957915677,392.949167522908,"6.03646674476281","1.8697405693389",812.362020526266,672.426270116627,805.029911402561,661.821732499894,35.8732934808763,2.10575388109377e-09,4.33808750067395e-09
"6019","Qpctl",201.968923999909,355.759050580239,"19.9999216736199","1.16640146890399",706.23791686654,281.018876432605,682.551929323993,258.958141220347,91.49344550961,1.1196242340794e-21,3.59423445209594e-21
"6020","Snrpd2",560.275904743126,394.708807626659,"3.6027552635944","-0.55634681246278",189.335065561049,48.1574465662192,84.2991814710235,-186.174819849544,678.736301011577,1.25816299284941e-149,3.68374736701357e-148
"6021","Gipr",400.298037413659,277.460857544878,"4.00044004744874","19.9998886631231",1231.88491175196,798.478543664226,1231.73543246958,798.222583183924,0.810879525364044,0.367860346472097,0.411206384688544
"6022","Eml2",201.968923999909,284.957698455341,"19.9999374157945","3.00710109836319",-175.750044151775,729.818319158821,-213.131881163207,729.283788750488,75.8327348395301,3.08740148857464e-18,8.93031429149014e-18
"6023","Gpr4",657.802529737421,344.892770176668,"2.63109830528865","1.39238822655985",960.808194559614,815.260504727054,950.218815738109,812.45201225737,26.7957425823781,2.26134986158481e-07,4.19946547989267e-07
"6024","Opa3",201.968923999909,289.53161305959,"19.9999373945484","2.45612891235784",366.610515021173,528.282028395041,331.784101047275,526.209904053731,73.7970766304161,8.65747222946339e-18,2.46432926076997e-17
"6025","Vasp",1263.94746589981,562.611053835128,"4.35456679978577","6.78075418769231",703.666610822474,1495.15783943993,702.371996744122,1494.70790215241,3.48910273174351,0.0617740583865745,0.0752653167034688
"6026","Rtn2",392.334808172468,277.559116113797,"1.63460639335465","0.615026559763499",281.292070475018,-28.4407302461493,270.596732717312,-43.6827102305924,51.8746354842982,5.91597290755586e-13,1.42254243666325e-12
"6027","Fosb",408.705498075496,277.559116113797,"2.5683540936008","4.99240920185184",678.89118284757,1443.02814812745,675.440957184962,1440.76118424235,11.4343790954158,0.000720975633635568,0.00105831941748904
"6028","Ercc1",201.968923999909,369.213370903519,"19.9999373801264","1.65034591961839",448.981338970334,489.947206133131,376.555343593594,482.446899255123,159.852604509496,1.21857584644852e-36,5.74159079720275e-36
"6029","Cd3eap",201.968923999909,563.528974811222,"19.9999373916509","0.79666107239474",428.006378275729,994.953153586537,35.8638257534358,944.8281640699,884.53508407786,2.25808294829564e-194,1.11391916106984e-192
"6030","Ppp1r13l",201.968923999909,391.757407250819,"19.9993633086089","0.737453926054113",1074.03625134182,921.333920350553,1045.06360214825,870.409223398129,159.794692291988,1.25460141265517e-36,5.90962279994603e-36
"6031","Ercc2",347.116549590652,726.088712678834,"19.9999372758555","1.13934164522112",635.899844439334,690.99920753014,592.772991273689,600.762929274977,266.726262841616,5.8670778657536e-60,4.4320260128354e-59
"6032","Klc3",727.468212010301,1135.06057046326,"5.05593767950952","4.31803231057057",1090.20225710157,902.394549834088,1089.84268105251,902.136343422671,1.2355649209544,0.266327516869412,0.302086513873826
