"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Dab1",1,"DE_by_Domain",TRUE,FALSE,3.59576235453987e-49
"Coprs",8,"DE_by_Domain",TRUE,FALSE,3.76306203889444e-49
"Phyhip",4,"DE_by_Domain",TRUE,FALSE,4.29947191481913e-49
"Celf5",2,"DE_by_Domain",TRUE,FALSE,4.35394796726309e-49
"Prkg2",7,"DE_by_Domain",TRUE,FALSE,5.68452700423176e-49
"Ssb",3,"DE_by_Domain",TRUE,FALSE,7.65927722198854e-49
"Crhr1",2,"DE_by_Domain",TRUE,FALSE,9.0666939650236e-49
"Brwd1",3,"DE_by_Domain",TRUE,FALSE,1.27901359087052e-48
"Dnajc19",3,"DE_by_Domain",TRUE,FALSE,1.49558395655388e-48
"Magee1",2,"DE_by_Domain",TRUE,FALSE,1.92062359174847e-48
"Impdh1",3,"DE_by_Domain",TRUE,FALSE,1.9228288137837e-48
"Ttc19",3,"DE_by_Domain",TRUE,FALSE,2.50533676571452e-48
"Hdhd2",3,"DE_by_Domain",TRUE,FALSE,2.91072296567145e-48
"Nucks1",3,"DE_by_Domain",TRUE,FALSE,3.43396261181883e-48
"Nans",7,"DE_by_Domain",TRUE,FALSE,3.73719853855434e-48
"Rab28",3,"DE_by_Domain",TRUE,FALSE,4.05609376157461e-48
"Btbd1",3,"DE_by_Domain",TRUE,FALSE,5.38296587393629e-48
"Paxx",3,"DE_by_Domain",TRUE,FALSE,5.81630645016907e-48
"Cbr1",3,"DE_by_Domain",TRUE,FALSE,6.32253851233888e-48
"Npm1",3,"DE_by_Domain",TRUE,FALSE,7.21057718046952e-48
"Slc25a23",4,"DE_by_Domain",TRUE,FALSE,7.79618600422838e-48
"Gatad1",3,"DE_by_Domain",TRUE,FALSE,8.66574308626037e-48
"Mme",8,"DE_by_Domain",TRUE,FALSE,9.64695799533187e-48
"Sae1",2,"DE_by_Domain",TRUE,FALSE,1.98266338929062e-47
"Sar1b",3,"DE_by_Domain",TRUE,FALSE,2.22041562905643e-47
"Caskin1",3,"DE_by_Domain",TRUE,FALSE,2.67690836430073e-47
"Ddost",3,"DE_by_Domain",TRUE,FALSE,4.42848575703678e-47
"Glt8d2",1,"DE_by_Domain",TRUE,FALSE,4.95022983610683e-47
"Acvr1b",2,"DE_by_Domain",TRUE,FALSE,8.59795601609303e-47
"Maged2",4,"DE_by_Domain",TRUE,FALSE,9.18518317959527e-47
"Kcnd3",7,"DE_by_Domain",TRUE,FALSE,9.37300020556149e-47
"Luzp2",3,"DE_by_Domain",TRUE,FALSE,1.24790703153605e-46
"Acvr1b",3,"DE_by_Domain",TRUE,FALSE,1.73497325313031e-46
"Ddx6",3,"DE_by_Domain",TRUE,FALSE,4.55602931635047e-46
