"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Cygb",4,"DE_by_Domain",TRUE,FALSE,5.39018602285647e-67
"Pstpip2",NA,"LRT_results",FALSE,TRUE,7.4143488742046e-67
"Tspoap1",3,"DE_by_Domain",TRUE,FALSE,9.27371963755042e-67
"Cd55",NA,"LRT_results",FALSE,TRUE,1.15911441503855e-66
"Ier3ip1",3,"DE_by_Domain",TRUE,FALSE,1.16225207575685e-66
"Atp6v1h",2,"DE_by_Domain",TRUE,FALSE,1.17680148098181e-66
"Gm10545",NA,"LRT_results",FALSE,TRUE,1.19406282559065e-66
"Sik2",NA,"LRT_results",FALSE,TRUE,4.51249571761822e-66
"Gp9",NA,"LRT_results",FALSE,TRUE,5.10283581199814e-66
"Spryd3",2,"DE_by_Domain",TRUE,FALSE,5.19286059328175e-66
"Mcm2",NA,"LRT_results",FALSE,TRUE,7.7962943624749e-66
"Tmem200a",2,"DE_by_Domain",TRUE,FALSE,1.05381795451424e-65
"Zkscan5",NA,"LRT_results",FALSE,TRUE,1.27500381235307e-65
"Coprs",4,"DE_by_Domain",TRUE,FALSE,1.94521456819166e-65
"Bcdin3d",NA,"LRT_results",FALSE,TRUE,3.95005818749586e-65
"0610012G03Rik",3,"DE_by_Domain",TRUE,FALSE,5.32387691647002e-65
"Treml2",NA,"LRT_results",FALSE,TRUE,7.65868937142294e-65
"Stau2",3,"DE_by_Domain",TRUE,FALSE,1.5705711172749e-64
"Gm42984",NA,"LRT_results",FALSE,TRUE,1.64454404307472e-64
"Ssbp2",3,"DE_by_Domain",TRUE,FALSE,2.06111487556158e-64
"Camkk2",1,"DE_by_Domain",TRUE,FALSE,2.4612194959767e-64
"Snap47",8,"DE_by_Domain",TRUE,FALSE,2.83179743466448e-64
"Gm47283",3,"DE_by_Domain",TRUE,FALSE,3.96265990835624e-64
"Mdh1b",NA,"LRT_results",FALSE,TRUE,5.5202099472735e-64
"Fam177a",NA,"LRT_results",FALSE,TRUE,1.12562009385637e-63
"Gm15535",NA,"LRT_results",FALSE,TRUE,1.32193186969051e-63
"P4htm",3,"DE_by_Domain",TRUE,FALSE,2.01151349691216e-63
"Smpd3",6,"DE_by_Domain",TRUE,FALSE,2.06203510815575e-63
"E2f5",NA,"LRT_results",FALSE,TRUE,2.21211211003093e-63
"Inka1",NA,"LRT_results",FALSE,TRUE,2.62654647750561e-63
"Eya2",NA,"LRT_results",FALSE,TRUE,3.28967509716945e-63
